	confidence	interrupted	prediction	amicus	correct	minVotes	winner	caseName	majVotes
08-861	0.34285714285714286	Pet	Res	Res	0	4	Pet	FREE ENTERPRISE FUND AND BECKSTEAD AND WATTS, LLP v. PUBLIC COMPANY ACCOUNTING OVERSIGHT BOARD et al.	5
08-876	0.7596899224806202	Res	Pet	No	1	0	Pet	CONRAD M. BLACK, JOHN A. BOULTBEE, AND MARK S. KIPNIS v. UNITED STATES	9
08-88	0.8245614035087719	Res	Pet	Pet	1	2	Pet	VERMONT v. MICHAEL BRILLON	7
08-905	0.34285714285714286	Pet	Res	Res	1	0	Res	MERCK & CO., INC., et al. v. RICHARD REYNOLDS et al.	9
08-911	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	AGRON KUCANA v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	9
08-9156	0.7596899224806202	Res	Pet	No	0	2	Res	HOLLY WOOD, PETITIONER v. RICHARD F. ALLEN, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS, et al.	7
08-964	0.7596899224806202	Res	Pet	No	0	0	Res	BERNARD L. BILSKI AND RAND A. WARSAW v. DAVID J. KAPPOS, UNDER SECRETARY OF COMMERCE FOR INTELLECTUAL PROPERTY AND DIRECTOR, PATENT AND TRADEMARK OFFICE	9
08-969	0.7596899224806202	Res	Pet	No	1	3	Pet	HEMI GROUP, LLC AND KAI GACHUPIN v. CITY OF NEW YORK, NEW YORK	5
08-970	0.5	Tie	Res	Pet	0	4	Pet	SONNY PERDUE, GOVERNOR OF GEORGIA, et al. v. KENNY A., BY HIS NEXT FRIEND LINDA WINN, et al.	5
08-974	0.8245614035087719	Res	Pet	Pet	1	0	Pet	ARTHUR L. LEWIS, JR., et al. v. CITY OF CHICAGO, ILLINOIS	9
08-992	0.7596899224806202	Res	Pet	No	1	0	Pet	JEFFREY A. BEARD, SECRETARY, PENNSYLVANIA DEPARTMENT OF CORRECTIONS, et al. v. JOSEPH J. KINDLER	8
08-998	0.5	Res	Res	Res	1	1	Res	JAN HAMILTON, CHAPTER 13 TRUSTEE v. STEPHANIE KAY LANNING	8
09-10245	0.7596899224806202	Res	Pet	No	1	4	Pet	WILLIAM FREEMAN v. UNITED STATES	5
09-1036	0.7596899224806202	Res	Pet	No	1	0	Pet	DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS	8
09-10876	0.5728155339805825	Pet	Pet	No	1	4	Pet	DONALD BULLCOMING, PETITIONER v. NEW MEXICO	5
09-1088	0.5728155339805825	Pet	Pet	No	1	4	Pet	VINCENT CULLEN, ACTING WARDEN, PETITIONER v. SCOTT LYNN PINHOLSTER	5
09-11121	0.34285714285714286	Pet	Res	Res	0	4	Pet	J. D. B., PETITIONER v. NORTH CAROLINA	5
09-11311	0.7596899224806202	Res	Pet	No	0	3	Res	MARCUS SYKES, PETITIONER v. UNITED STATES	6
09-11328	0.5728155339805825	Pet	Pet	No	0	2	Res	WILLIE GENE DAVIS, PETITIONER v. UNITED STATES	7
09-115	0.7419354838709677	Pet	Pet	Pet	0	3	Res	CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA, et al., PETITIONERS v. MICHAEL B. WHITING ET AL	5
09-11556	0.34285714285714286	Pet	Res	Res	1	0	Res	JOSE TOLENTINO, PETITIONER v. NEW YORK	9
09-1156	0.34285714285714286	Pet	Res	Res	1	0	Res	MATRIXX INITIATIVES, INC., et al., PETITIONERS v. JAMES SIRACUSANO et al.	9
09-1159	0.8245614035087719	Res	Pet	Pet	0	2	Res	BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY, PETITIONER v. ROCHE MOLECULAR SYSTEMS, INC., et al.	7
09-1163	0.7596899224806202	Res	Pet	No	1	1	Pet	GLEN SCOTT MILNER, PETITIONER v. DEPARTMENT OF THE NAVY	8
09-1205	0.7596899224806202	Res	Pet	No	1	0	Pet	KEITH SMITH, et al., PETITIONERS v. BAYER CORPORATION	9
09-1227	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	CAROL ANNE BOND, PETITIONER v. UNITED STATES	9
09-1233	0.7596899224806202	Res	Pet	No	0	4	Res	EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., APPELLANTS v. MARCIANO PLATA et al.	5
09-1272	0.7419354838709677	Pet	Pet	Pet	1	1	Pet	KENTUCKY, PETITIONER, v. HOLLIS DESHAUN KING	8
09-1273	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	ASTRA USA, INC., et al., PETITIONERS v. SANTA CLARA COUNTY, CALIFORNIA	8
09-1279	0.5728155339805825	Pet	Pet	No	1	0	Pet	FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.	8
09-1298	0.7596899224806202	Res	Pet	No	1	0	Pet	GENERAL DYNAMICS CORPORATION, PETITIONER, v. UNITED STATES	9
09-1343	0.7596899224806202	Res	Pet	No	1	3	Pet	J. MCINTYRE MACHINERY, LTD., PETITIONER v. ROBERT NICASTRO, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO	6
09-1403	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	ERICA P. JOHN FUND, INC., FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND, INC., PETITIONER v. HALLIBURTON CO., et al.	9
09-1454	0.8245614035087719	Res	Pet	Pet	1	2	Pet	BOB CAMRETA, PETITIONER v. SARAH GREENE, PERSONALLY AND AS NEXT FRIEND OF S. G., A MINOR, AND K. G., A MINOR	7
09-1476	0.8245614035087719	Res	Pet	Pet	1	0	Pet	BOROUGH OF DURYEA, PENNSYLVANIA, et al., PETITIONERS v. CHARLES J GUARNIERI	9
09-1498	0.5728155339805825	Pet	Pet	No	0	0	Res	UNITED STATES, PETITIONER v. JASON LOUIS TINKLENBERG	8
09-150	0.8245614035087719	Res	Pet	Pet	1	2	Pet	MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT	6
09-152	0.5	Res	Res	Res	1	2	Res	RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.	6
09-1533	0.5728155339805825	Pet	Pet	No	0	0	Res	FRANTZ DEPIERRE, PETITIONER v. UNITED STATES	9
09-158	0.5728155339805825	Pet	Pet	No	1	4	Pet	BILLY JOE MAGWOOD v. TONY PATTERSON, WARDEN, et al.	5
09-223	0.5728155339805825	Pet	Pet	No	1	0	Pet	RICHARD A. LEVIN, TAX COMMISSIONER OF OHIO v. COMMERCE ENERGY, INC., et al.	9
09-291	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP	8
09-329	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED	9
09-337	0.7596899224806202	Res	Pet	No	1	0	Pet	WANDA KRUPSKI v. COSTA CROCIERE S. P. A.	9
09-338	0.7596899224806202	Res	Pet	No	1	3	Pet	PAUL RENICO, WARDEN v. REGINALD LETT	6
09-350	0.7596899224806202	Res	Pet	No	1	0	Pet	LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.	8
09-367	0.5728155339805825	Pet	Pet	No	0	4	Res	BRIAN RUSSELL DOLAN v. UNITED STATES	5
09-400	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL	8
09-448	0.8245614035087719	Res	Pet	Pet	1	0	Pet	BRIDGET HARDT v. RELIANCE STANDARD LIFE INSURANCE COMPANY	9
09-475	0.7419354838709677	Pet	Pet	Pet	1	1	Pet	MONSANTO COMPANY, et al. v. GEERTSON SEED FARMS et al.	7
09-479	0.8245614035087719	Res	Pet	Pet	0	0	Res	KEVIN ABBOTT, PETITIONER v. UNITED STATES	8
09-497	0.7596899224806202	Res	Pet	No	1	4	Pet	RENT-A-CENTER, WEST, INC. v. ANTONIO JACKSON	5
09-520	0.8245614035087719	Res	Pet	Pet	0	2	Res	CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.	7
09-5201	0.7596899224806202	Res	Pet	No	0	3	Res	MICHAEL GARY BARBER, et al. v. J. E. THOMAS, WARDEN	6
09-525	0.5	Res	Res	Res	0	4	Pet	JANUS CAPITAL GROUP, INC., et al., PETITIONERS v. FIRST DERIVATIVE TRADERS	5
09-529	0.7419354838709677	Pet	Pet	Pet	1	2	Pet	VIRGINIA OFFICE FOR PROTECTION AND ADVOCACY, PETITIONER v. JAMES W. STEWART III, COMMISSIONER, VIRGINIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES, et al.	6
09-530	0.7596899224806202	Res	Pet	No	1	0	Pet	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.	8
09-5327	0.5728155339805825	Pet	Pet	No	1	2	Pet	ALBERT HOLLAND v. FLORIDA	7
09-559	0.5728155339805825	Pet	Pet	No	0	1	Res	JOHN DOE #1, et al. v. SAM REED, WASHINGTON SECRETARY OF STATE, et al.	8
09-571	0.7596899224806202	Res	Pet	No	1	4	Pet	HARRY F. CONNICK, DISTRICT ATTORNEY, et al., PETITIONERS v. JOHN THOMPSON	5
09-5801	0.7596899224806202	Res	Pet	No	0	4	Res	RUBEN FLORES-VILLAR, PETITIONER v. UNITED STATES	4
09-587	0.5728155339805825	Pet	Pet	No	1	0	Pet	KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER	8
09-60	0.5728155339805825	Pet	Pet	No	1	0	Pet	JOSE ANGEL CARACHURI-ROSENDO v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	9
09-6338	0.5728155339805825	Pet	Pet	No	0	1	Res	PERCY DILLON v. UNITED STATES	7
09-658	0.7596899224806202	Res	Pet	No	1	0	Pet	JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE	8
09-6822	0.7419354838709677	Pet	Pet	Pet	1	2	Pet	JASON PEPPER, PETITIONER v. UNITED STATES	6
09-737	0.7596899224806202	Res	Pet	No	1	0	Pet	MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.	9
09-751	0.5728155339805825	Pet	Pet	No	0	1	Res	ALBERT SNYDER, PETITIONER v. FRED W. PHELPS, SR., et al.	8
09-804	0.34285714285714286	Pet	Res	Res	0	0	Pet	CIGNA CORPORATION, et al., PETITIONERS v. JANICE C. AMARA, et al., INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED	8
09-834	0.7419354838709677	Pet	Pet	Pet	1	2	Pet	KEVIN KASTEN, PETITIONER v. SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION	6
09-837	0.5728155339805825	Pet	Pet	No	0	0	Res	MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES	8
09-846	0.5728155339805825	Pet	Pet	No	1	1	Pet	UNITED STATES, PETITIONER v. TOHONO O'ODHAM NATION	7
09-868	0.5728155339805825	Pet	Pet	No	0	0	Res	ASHBEL T. WALL, II, DIRECTOR, RHODE ISLAND DEPARTMENT OF CORRECTIONS, PETITIONER v. KHALIL KHOLI	9
09-893	0.7596899224806202	Res	Pet	No	1	4	Pet	AT&T MOBILITY LLC, PETITIONER v. VINCENT CONCEPTION ET UX	5
09-9000	0.5728155339805825	Pet	Pet	No	1	3	Pet	HENRY W. SKINNER, PETITIONER v. LYNN SWITZER, DISTRICT ATTORNEY FOR THE 31ST JUDICIAL DISTRICT OF TEXAS	6
09-907	0.5	Res	Res	Res	1	1	Res	JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.	8
09-958	0.8245614035087719	Res	Pet	Pet	1	4	Pet	TOBY DOUGLAS, DIRECTOR, CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES, PETITIONER v. INDEPENDENT LIVING CENTER OF SOUTHERN CALIFORNIA, INC., et al.	5
09-987	0.8245614035087719	Res	Pet	Pet	1	4	Pet	ARIZONA CHRISTIAN SCHOOL TUITION ORGANIZATION, PETITIONER v. KATHLEEN M. WINN et al.	5
09-993	0.5	Res	Res	Res	0	4	Pet	PLIVIA, INC., et al., PETITIONERS v. GLADYS MENSING	5
09-996	0.7596899224806202	Res	Pet	No	1	0	Pet	JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN	9
10-10	0.7419354838709677	Pet	Pet	Pet	1	4	Pet	MICHAEL D. TURNER, PETITIONER v. REBECCA L. ROGERS et al.	5
10-1001	0.8333333333333334	Tie	Pet	Res	1	2	Pet	LUIS MARIANO MARTINEZ, PETITIONER v. CHARLES L. RYAN, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS	7
10-1016	0.7596899224806202	Res	Pet	No	0	4	Res	DANIEL COLEMAN, PETITIONER v. COURT OF APPEALS OF MARYLAND et al.	5
10-1018	0.8245614035087719	Res	Pet	Pet	1	0	Pet	STEVE A. FILARSKY, PETITIONER v. NICHOLAS B. DELIA.	9
10-1024	0.5728155339805825	Pet	Pet	No	1	3	Pet	FEDERAL AVIATION ADMINISTRATION, et al., PETITIONERS v. STANMORE CAWTHON COOPER	5
10-1042	0.7419354838709677	Pet	Pet	Pet	0	0	Res	TAMMY FORET FREEMAN, et al., PETITIONERS v. QUICKEN LOANS, INC.	9
10-1062	0.7596899224806202	Res	Pet	No	1	0	Pet	CHANTELL SACKETT, et vir, PETITIONERS v. ENVIRONMENTAL PROTECTION AGENCY, et al.	9
10-1104	0.8245614035087719	Res	Pet	Pet	1	1	Pet	MARGARET MINNECI, et al. v. RICHARD LEE POLLARD et al.	8
10-1121	0.5728155339805825	Pet	Pet	No	1	2	Pet	DIANNE KNOX, et al., PETITIONERS v. SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 1000	7
10-114	0.5728155339805825	Pet	Pet	No	1	0	Pet	RICKY D FOX, PETITIONER v. JUDY ANN VICE, AS EXECUTRIX OF THE ESTATE OF VICE, et al.	9
10-1150	0.34285714285714286	Pet	Res	Res	0	0	Pet	MAYO COLLABORATIVE SERVICES, DBA MAYO MEDICAL LABORATORIES, et al., PETITIONERS v. PROMETHEUS LABORATORIES, INC.	9
10-1195	0.7596899224806202	Res	Pet	No	1	0	Pet	MARCUS D. MIMS, PETITIONER v. ARROW FINANCIAL SERVICES, LLC	9
10-1211	0.7596899224806202	Res	Pet	No	1	3	Pet	PANAGIS VARTELAS, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	6
10-1219	0.5728155339805825	Pet	Pet	No	0	0	Res	DAVID J. KAPPOS, UNDER SECRETARY OF COMMERCE FOR INTELLECTUAL PROPERTY AND DIRECTOR, PATENT AND TRADEMARK OFFICE, PETITIONER v. GILBERT P. HYATT	9
10-1259	0.5728155339805825	Pet	Pet	No	0	0	Res	UNITED STATES, PETITIONER v. ANTOINE JONES	9
10-1261	0.5	Res	Res	Res	0	0	Pet	CREDIT SUISSE SECURITIES (USA) LLC, et al., PETITIONERS v. VANESSA SIMMONDS	8
10-1265	0.5728155339805825	Pet	Pet	No	1	0	Pet	MICHAEL MARTEL, WARDEN, PETITIONER v. KENNETH CLAIR	9
10-1293	0.5	Res	Res	Res	1	0	Res	FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. FOX TELEVISION STATIONS, INC., et al. FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. ABC, INC., et al.	8
10-1320	0.5728155339805825	Pet	Pet	No	0	3	Res	ALEX BLUEFORD, PETITIONER v. ARKANSAS	6
10-1399	0.5	Res	Res	Res	1	1	Res	DANA ROBERTS, PETITIONER v. SEA-LAND SERVICES, INC., et al.	8
10-1472	0.5728155339805825	Pet	Pet	No	1	3	Pet	KOUICHI TANIGUCHI, PETITIONER v. KAN PACIFIC SAIPAN, LTD., DBA MARIANAS RESORT AND SPA	6
10-1491	0.8245614035087719	Res	Pet	Pet	0	0	Res	ESTHER KIOBEL, INDIVIDUALLY AND ON BEHALF OF HER LATE HUSBAND, DR. BARINEM KIOBEL, et al., PETITIONERS v. ROYAL DUTCH PETROLEUM CO. et al.	9
10-1542	0.5	Res	Res	Res	0	0	Pet	ERIC H. HOLDER, JR., ATTORNEY GENERAL, PETITIONER  v. CARLOS MARTINEZ GUTIERREZ	9
10-174	0.8245614035087719	Res	Pet	Pet	1	0	Pet	AMERICAN ELECTRIC POWER COMPANY, INC., et al., PETITIONERS v. CONNECTICUT ET AL	8
10-179	0.5	Tie	Res	Pet	1	4	Res	HOWARD K. STERN, EXECUTOR OF THE ESTATE OF VICKI LYNN MARSHALL, PETITIONER, v. ELAINE T. MARSHALL, EXECUTRIX OF THE ESTATE OF E. PIERCE MARSHALL	5
10-188	0.5	Res	Res	Res	0	3	Pet	SCHINDLER ELEVATOR CORPORATION, PETITIONER v. UNITED STATES ex rel. DANIEL KIRK	5
10-209	0.8245614035087719	Res	Pet	Pet	1	4	Pet	BLAINE LAFLER, PETITIONER v. ANTHONY COOPER	5
10-218	0.8245614035087719	Res	Pet	Pet	1	0	Pet	PPL MONTANA, LLC, PETITIONER v. MONTANA	9
10-224	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	NATIONAL MEAT ASSOCIATION, PETITIONER v. KAMALA D. HARRIS, ATTORNEY GENERAL OF CALIFORNIA, et al.	9
10-235	0.5728155339805825	Pet	Pet	No	0	4	Res	CSX TRANSPORTATION, INC., PETITIONER v. ROBERT MCBRIDE	5
10-238	0.5	Res	Res	Res	0	4	Pet	ARIZONA FREE ENTERPRISE CLUB'S FREEDOM CLUB PAC, et al., PETITIONERS v. KEN BENNETT, IN HIS OFFICIAL CAPACITY AS ARIZONA SECRETARY OF STATE, et al.	5
10-277	0.7596899224806202	Res	Pet	No	1	4	Pet	WAL-MART STORES, INC., PETITIONER v. BETTY DUKES et al.	5
10-290	0.8333333333333334	Tie	Pet	Res	0	0	Res	MICROSOFT CORPORATION, PETITIONER v. I4I  LIMITED PARTNERSHIP et al.	8
10-313	0.8245614035087719	Res	Pet	Pet	1	0	Pet	TALK AMERICA, PETITIONER v. MICHIGAN BELL TELEPHONE COMPANY DBA AT&T MICHIGAN	8
10-382	0.6666666666666666	Tie	Pet	No	1	1	Pet	UNITED STATES, PETITIONER v. JICARILLA APACHE NATION	7
10-444	0.7419354838709677	Pet	Pet	Pet	1	4	Pet	MISSOURI, PETITIONER v. GALIN E. FRYE	5
10-507	0.5	Res	Res	Res	0	0	Pet	PACIFIC OPERATORS OFFSHORE, LLP, et al. v. LUISA L. VALLADOLID ET AL	9
10-5258	0.5728155339805825	Pet	Pet	No	0	0	Res	CLIFTON TERELLE MCNEILL, PETITIONER v. UNITED STATES	9
10-5400	0.5	Res	Res	Res	0	0	Pet	ALEJANDRA TAPIA, PETITIONER v. UNITED STATES	9
10-5443	0.7596899224806202	Res	Pet	No	1	2	Pet	CHARLES ANDREW FOWLER, AKA MAN, PETITIONER v. UNITED STATES	7
10-545	0.5728155339805825	Pet	Pet	No	0	2	Res	LAWRENCE GOLAN, et al. v. ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al.	6
10-553	0.5	Res	Res	Res	0	0	Pet	HOSANNA-TABOR EVANGELICAL LUTHERAN CHURCH AND SCHOOL v. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION, et al.	9
10-568	0.7596899224806202	Res	Pet	No	1	0	Pet	NEVADA COMMISSION ON ETHICS, PETITIONER v. MICHAEL A. CARRIGAN	9
10-577	0.7596899224806202	Res	Pet	No	0	3	Res	AKIO KAWASHIMA, ET UX., PETITIONERS v. ERIC H. HOLDER, JR., ATTORNEY GENERAL.	6
10-6	0.5728155339805825	Pet	Pet	No	0	1	Res	GLOBAL-TECH APPLIANCES, INC., et al., PETITIONERS v. SEB S.A.	8
10-63	0.5728155339805825	Pet	Pet	No	1	2	Pet	CORY R. MAPLES, PETITIONER v. KIM T. THOMAS, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS	7
10-637	0.5728155339805825	Pet	Pet	No	1	0	Pet	ERIC GREENE, AKA JARMAINE Q. TRICE v. JON FISHER, SUPERINTENDENT, STATE CORRECTIONAL INSTITUTION AT SMITHFIELD, et al.	9
10-6549	0.7596899224806202	Res	Pet	No	1	2	Pet	BILLY JOE REYNOLDS, PETITIONER v. UNITED STATES	7
10-680	0.7419354838709677	Pet	Pet	Pet	1	3	Pet	CAROL HOWES, WARDEN, PETITIONER v. RANDALL LEE FIELDS	6
10-694	0.7596899224806202	Res	Pet	No	1	0	Pet	JOEL JUDULANG, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	9
10-699	0.7596899224806202	Res	Pet	No	1	1	Pet	MENACHEM BINYAMIN ZIVOTOFSKY, BY HIS PARENTS AND GUARDIANS, ARI Z. AND NAOMI SIEGMAN ZIVOTOFSKY, PETITIONER v. HILLARY RODHAM CLINTON, SECRETARY OF STATE	8
10-704	0.8245614035087719	Res	Pet	Pet	1	3	Pet	CURT MESSERSCHMIDT et al., PETITIONERS v. BRENDA MILLENDER, AS EXECUTOR OF THE ESTATE OF AUGUSTA MILLENDER, DECEASED, et al.	6
10-708	0.5	Res	Res	Res	1	0	Res	FIRST AMERICAN FINANCIAL CORPORATION, SUCCESSOR IN INTEREST TO THE FIRST AMERICAN CORPORATION, et al., PETITIONERS v. DENISE P. EDWARDS	9
10-76	0.8245614035087719	Res	Pet	Pet	1	0	Pet	GOODYEAR DUNLOP TIRES OPERATIONS, S.A., et al., PETITIONERS v. EDGAR D. BROWN, ET UX., CO-ADMINISTRATORS OF THE ESTATE OF JULIAN DAVID BROWN, et al.	9
10-779	0.7419354838709677	Pet	Pet	Pet	0	3	Res	SORRELL, ATTORNEY GENERAL OF VERMONT, et al. v. IMS HEALTH INC. ET AL	6
10-788	0.5728155339805825	Pet	Pet	No	0	0	Res	CHARLES A. REHBERG, PETITIONER v. JAMES P. PAULK	9
10-8145	0.7596899224806202	Res	Pet	No	1	1	Pet	JUAN SMITH v. BURL CAIN, WARDEN	8
10-844	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	CARACO PHARMACEUTICAL LABORATORIES, LTD., et al., PETITIONERS v. NOVO NORDISK A/S et al.	9
10-8505	0.5	Res	Res	Res	1	4	Res	WILLIAMS v. ILLINOIS	5
10-875	0.5728155339805825	Pet	Pet	No	0	4	Res	LYNWOOD D. HALL, ET UX., PETITIONERS v. UNITED STATES	5
10-879	0.7419354838709677	Pet	Pet	Pet	0	3	Res	GLORIA GAIL KURNS, EXECUTRIX OF THE ESTATE OF GEORGE M. CORSON, DECEASED, et al., PETITIONERS v. RAILROAD FRICTION PRODUCTS CORPORATION et al.	6
10-895	0.34285714285714286	Pet	Res	Res	1	1	Res	RAFAEL ARRIAZA GONZALES v. RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	8
10-8974	0.34285714285714286	Pet	Res	Res	0	1	Pet	BARION PERRY v. NEW HAMPSHIRE	8
10-930	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	CHARLES L. RYAN, PETITIONER v. ERNEST VALENCIA GONZALES	9
10-945	0.34285714285714286	Pet	Res	Res	1	4	Res	ALBERT W. FLORENCE, PETITIONER v. BOARD OF CHOSEN FREEHOLDERS OF THE COUNTY OF BURLINGTON et al.	5
10-948	0.7596899224806202	Res	Pet	No	1	1	Pet	COMPUCREDIT CORPORATION et al. v. WANDA GREENWOOD et al.	8
10-9646	0.5728155339805825	Pet	Pet	No	1	4	Pet	EVAN MILLER, PETITIONER v. ALABAMA	5
10-98	0.5728155339805825	Pet	Pet	No	1	0	Pet	JOHN D. ASHCROFT, PETITIONER v. ABDULLAH AL-KIDD	8
10-9995	0.8333333333333334	Tie	Pet	Res	1	0	Pet	PATRICK WOOD, PETITIONER v. KEVIN MILYARD, WARDEN, et al.	9
105	0.5728155339805825	Pet	Pet	No	0	2	Res	LICHTER ET AL., DOING BUSINESS AS SOUTHERN FIREPROOFING CO., v. UNITED STATES	7
11-10189	0.7596899224806202	Res	Pet	No	1	4	Pet	CARLOS TREVINO, PETITIONER v. RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	5
11-1025	0.5728155339805825	Pet	Pet	No	1	4	Pet	JAMES R. CLAPPER, JR., DIRECTOR OF NATIONAL INTELLIGENCE, et al., PETITIONERS v. AMNESTY INTERNATIONAL USA et al.	5
11-10362	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	KIM MILLBROOK, PETITIONER v. UNITED STATES	9
11-1059	0.34285714285714286	Pet	Res	Res	1	4	Res	GENESIS HEALTHCARE CORPORATION, et al., PETITIONERS v. LAURA SYMCZYK	5
11-1085	0.34285714285714286	Pet	Res	Res	1	3	Res	AMGEN INC., et al., PETITIONERS v. CONNECTICUT RETIREMENT PLANS AND TRUST FUNDS	6
11-1118	0.7596899224806202	Res	Pet	No	1	0	Pet	JERRY W. GUNN, et al., PETITIONERS v. VERNON F. MINTON	9
11-1160	0.5728155339805825	Pet	Pet	No	0	0	Res	FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.	9
11-1175	0.5	Tie	Res	Pet	1	2	Res	OLIVEA MARX, PETITIONER v. GENERAL REVENUE CORPORATION	7
11-1221	0.5	Res	Res	Res	1	0	Res	JACQUELINE HILLMAN, PETITIONER v. JUDY A. MARETTA	9
11-1231	0.5	Res	Res	Res	0	0	Pet	KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. AUBURN REGIONAL MEDICAL CENTER et al.	9
11-1274	0.7596899224806202	Res	Pet	No	0	0	Res	MARC J. GABELLI AND BRUCE ALPERT, PETITIONERS v. SECURITIES AND EXCHANGE COMMISSION	9
11-1285	0.5728155339805825	Pet	Pet	No	0	4	Res	US AIRWAYS, INC., IN ITS CAPACITY AS FIDUCIARY AND PLAN ADMINISTRATOR OF THE US AIRWAYS, INC. EMPLOYEE BENEFITS PLAN, PETITIONER v. JAMES E. MCCUTCHEN et al.	5
11-1327	0.34285714285714286	Pet	Res	Res	0	1	Pet	LAMAR EVANS, PETITIONER v. MICHIGAN	8
11-1347	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	JEFFREY LEE CHAFIN, PETITIONER v. LYNNE HALES CHAFIN	9
11-1351	0.7596899224806202	Res	Pet	No	1	0	Pet	STEVEN ALAN LEVIN, PETITIONER v. UNITED STATES et al.	9
11-139	0.5728155339805825	Pet	Pet	No	0	4	Res	UNITED STATES, PETITIONER v. HOME CONCRETE & SUPPLY, LLC, et al.	5
11-1425	0.7419354838709677	Pet	Pet	Pet	0	4	Res	MISSOURI, PETITIONER v. G. MCNEELY	5
11-1447	0.5	Res	Res	Res	0	4	Pet	KOONTZ v. ST. JOHNS RIVER WATER MGMT. DIST.	5
11-1450	0.5728155339805825	Pet	Pet	No	1	0	Pet	THE STANDARD FIRE INSURANCE COMPANY, PETITIONER v. GREG KNOWLES	9
11-1518	0.5	Res	Res	Res	0	0	Pet	RANDY CURTIS BULLOCK, PETITIONER v. BANKCHAMPAIGN, N. A.	9
